text,target,stance,Sentiment,Sarcasm
5?? ?? ????? #?????? ??? ???????? ???????? ?? ???? ??? ?????? ??? #??????_?????? ??????? ???????? ??????? ?? ?????? ????? ?? ???  ??? ??? ???? ???? ???? ?? ????? ???????? ???????? ?????????? ????? ?????? ?????? ???? ??????? ???? ??? ????? ?????? ????????? ????? ????? ?? ???????.,Digital Transformation,Favor,Positive,No
5-  ????? ?? ????????? ?? ??????? ???????? ???? ????????. 6-  ?????? ?? ???????? ???????? ??? ???????? ??????????. 7-  ????? ??????? ??????? ???????? ???????. #???????_?????? #?????_????,Digital Transformation,Favor,Neutral,No
10 / 10 / 1439 ?? ????? ?? ???? … ? ????? ????? ?????? ??????? ??????? ?? ????? ?????? ???????? … ????? ??? ????? ?????? ????? ?????? ?? ??? ?????? ?????? ??? ???? ?? ???? ????? ??????  … ???? ???? ???? ???? @mr_mns,Women empowerment,Favor,Positive,No
14- Gunjan Saxena  ???????? ?????? ????? ????????  ??? ?? ??? ????? ??????  ?? ???? ???? ??? ????? ????????! URL,Women empowerment,None,Neutral,No
16 ??? ????? ??? ?????? ????? ????? ???? ???? ? . #?????_?????? ???? ?????? ?? ?????.,Women empowerment,Against,Negative,Yes
24 April                                                              ????? ????? ?????? ???? ????? ??,Covid Vaccine,Favor,Positive,No
25 ????? 2021? ?? ???????????  ????????? ???? ?????? ??? ? ?????? ??????  ????? ??????? ??????? ????? ?????? ????? @SaudiMOH????? ?????? ???????@umajmaah??? ??? ??????? ???? ???????????????  ???? ???? ????? ?? ??? ????? ???? ?????? ????? ??? ?????? ????? ?????????? #?????_??????,Covid Vaccine,Favor,Positive,No
44 % ???? ?????? ?????????? ?? ???? ????? ?????? ??? ?????? ??????? #??????? #?????_?????? URL,Digital Transformation,Favor,Neutral,No
270 ????? ???? ??? ?????? ??? ??? ????? ?? ??? ??????  ????? ?? ????? ?????? ? ??? ???? ?? ???? ????????? ?????? #????? ?? #???? ???? ???? ?????? ??? ??? ??? 90%  ????? ??? ??? ?? ??? ???? : ??? ??????? ????? ????? ? ???? ???? :  ?? ??? ?? ??? ?????  #?????_???????_?????_???????,Covid Vaccine,Against,Negative,No
- " ???? ???? ????? ?????? ??? ????? ???? ???????? 2030 ???? ??? ????? ??? ??? ????? ?????? ???? ?? ????? ????? ????? ?? ????????? «????? #??????»... "   @dr_malky  #????_??? #???????_???  @SeadaAlshammar2,Women empowerment,Favor,Positive,No
- ????? ??? ????? ?????? ?? ????? ?????? ?? ??? ?? ???? ??????????? ??? ??????? ???????? ?? ???? ????? ??? ???? ???????.  - ????? ?????? ????? ??? ????? ?? ???????? ???? ??????? ?????? ???????? ?? ????? ????? ??????? ???? ??? ?????? ??????? ??????.,Women empowerment,Favor,Neutral,No
- ?????? ?????? ????? ???? ???? - ????? ?????? - ? ??? ?????? ?????? ??????? ? ????? ????? ????? ????? ? ??? ????? ????? ???? ????? ??????! - ??? ? ?????? ???????? ???? ??? ??????  - ????? ????? ????? ????  #?????? ???? ?????? ???? ??????? ?????? ? ??????,Women empowerment,Against,Negative,No
- ?????? ????? ??????? - ????? ?????? ???? ???? ?? ??? ?????? ??? ??? ???? ?????? "?? ????? ??? ???? ???? ??????" - ?????? ?????? ??? ?? ?????? ???? ?????? ????? ?????? ???????? ??? ??????? - ????? ?????? ????? ??? ????? ??????? ???? ????? ?????? ?. ?????,Women empowerment,Favor,Neutral,No
- ?????? ????? ?????? /?????-19/ ?? ????? ??? ??? ????? ???? ???? ???? ??? 2021? ???? ?? ??? ????? ???? ??????? ???????? ?????? ??? ??????? ????? ?????-19 ???? ??? ????? ?? ????? ????? ???????? ????????. #??????_?????????,Covid Vaccine,Favor,Neutral,No
- ????????? ?????? ( ??? )   ??? ??? ??????? ????? ????????  ?????? ??????? ????? ?????? ..  ????? ????????? ?????? ??????? ???? ??? ??? ??? ???????? ..,Women empowerment,Favor,Negative,No
-???? ?? ?? ?? ??? ??????? ???? ????? ????????..  -????? ?????? ??????? ???? ????..!!  ????? ?????? ??? ???? ????? ??? ?????!!  #??_????? #?????? #???????,Covid Vaccine,Against,Negative,No
-????? ?????? ??????? ????? ???????? ?? ?????? ?????? ?????? ??? ?????? ?????? ???? ??????? ??????????.  -????? ????? ??? ????? ??? ??????? ???????? ????????? ?????? ?????. (5) ????? URL,Women empowerment,Favor,Positive,No
-??? ?? ????? ???? ???????  -?????? ??? ??????  -??? ???????  -????? ????? ??????? ????????  -????? ??????  ?-?????? ???????? ?????  ?? ??? ??????? ???????? ???? ?????? ??? #???_????? ???? ???? ???? ???? ?????? ????? ???????? ??? ?????,Women empowerment,Favor,Positive,No
-???? ????????? ??????. -????? ??? "????? ??????" ???? ????? ???? ???? ???? ??????. -???? ?????????. -????? ?????? ??? ?????? ?? ????? -?????? ?????  ??? ???? ??? ??? ??? ??? ????????? ??? ????? ????? ??? ??? ??????? ????? ???? ???? ?? ?????  ??? ??? ????,Women empowerment,Against,Negative,No
— ???????? #???_??????_???????    ???? ?????? ????? ????? ????? ?? #???????   «?????? ?? ???? ?????? ??? ????? ??? ??? ????? ?????? ?? ????? ????? ???????»  ??? ????? ?????? ???? ?? ??????  «??? ???? ???????? ???? ???????? ?? ?????? ??? ??? ???? ??????»  #????_??? #???????_???,Women empowerment,Favor,Positive,No
. . ?? ???? ???? .. ???? ?? ????? ???? ???? ????? ????? ?????? ??? ??????? ?????? ?????? ??????  ??????? ??? ???? ?? ????? ?? ?????? ???? ????? ..  ?????? ??? ????? ( ???????? )  . . ???? ??????? ?,Covid Vaccine,Favor,Neutral,Yes
. ??? ?????? ?????? ?? ?????? ??????? ?????? ??% ?????? ????? ?????? ??? ??????? ???? ??????? ?????? ????? ?????? ?????? ??????? ??????? ????????? ?????? ??????   ?????? ?? ????? ?????? ??????? ?? ?????????   ?????? ??????? ?? ???? ??????? ?? ??????? !   #???????_????????,Covid Vaccine,Favor,Neutral,No
.  ????????? ????????? ? ??????? ???? ? ?? ??? ?? ????? ??????? ??? ?? #?????_?????? ? ??? ????: ?????? ??? ????? ?? ??? ???? ! ????? ????! ?? ??????? ?? ????? ?? ?????!  ??? ??? ???? ??? ??????? ? ????? ?????? ??????? ?????? ????!  #????_????????_?????,Women empowerment,Against,Negative,No
.  ??????????? ?????? ????? ?? ??? ??????? ??? ???? ???? ????? ????? ????? ?????? ???? ?? ??? ?????? " ????? ??????" ???? ?????? ????? ???????? ????? ??? ?????? ?????? ?? ?????? ?????? ????? ????? ?????? ?????? !  +,Women empowerment,Against,Negative,No
.  ?????????? ??????? ??? ??????? ?????? ??? ?????? ?? ???????? ??????? ????? ?? ????? ??????? ?? ??? ???? 5000 ??? ?? ????? 8000 ?????!  ??? ??????? ????? ?????? ??? ?????????! #?????_??_?????? #?????_??????_1443 #????_??_????_???????_??????  #?????_???_??? #????_??_????_??_???? URL,Women empowerment,Against,Negative,No
. ????? ??? ?? ????????  ????? ??? ???? ????? ??  ????? ?????? ??????,Covid Vaccine,Favor,Positive,No
. ????? ??? ?? ????????  ????? ??? ???? ????? ??  ????? ?????? ??????  ???????  ??????? ?? ??? ????  ??? 15  ???   "?????",Covid Vaccine,Favor,Positive,No
.  ?? ????????.. ???? ?????? ?? ????? ??? ??? .. #?????_??????   #??????   ..,Covid Vaccine,Favor,Positive,No
.  ????? ?????? = ??? ?????? ?????????? ??  ??????? ?? ???????? + ?????? ??????? +  ??????? ?? ????? ?? ?????? ????????..,Women empowerment,Against,Negative,No
.  ?? ????????? ???? ??????? ??????? ?? ????? " ?????? ??????" ???? ??? ?????? ?????? ???????? ????? ?????? ?? ????? ??????? ?? ?? ??????? ?????? ??????? ?????? ??? ??????? ????? ??????? ?????????? ????? ????? ???????? ?? ?????? ??????? ???????? ??? ????????? ?? ????????   +,Women empowerment,None,Negative,No
. ???? ???? ?????? ??? ????? ?????? ???? ?????? ???????? ????? ??? ???? ????? ? ????? ????? ?? . MENTION . #?????_?????? #??????_???????  . URL,Women empowerment,Favor,Positive,No
' ????? ????? ?????? ?????? ?? ????? ????? ?? ????? #??????_???????_??????  ???? ??? ????? ????? ???? ???? ( ?????? ?????? ????????? ?????? ) ????? ???? ?????????. - URL,Digital Transformation,Favor,Positive,No
‘’ ???? ?????? ??????? ?????? ???????? ???? ????? ????? ‘’  #?????_??????? #???_??????   #?????? #?????_?????  #????_?????   #????_?????_?????? #??????_????_??_????  #?????_??????  #????_???????_2030  #???_???_?????  #?????_??????     @al_jazirah,Women empowerment,Favor,Positive,No
""" ??? ???? ??? ???? ??? ?????.""   #??_????? #?????? #?????_19 #????_??????? #??????_??????? #???? #????? #????? #??_????",Covid Vaccine,Against,Negative,No
""" ?????? ?? ???? ?????? ??? ?????? ??? ??? ????? ?????? ?? ????? ????? ???????."" #???_??????_??????? ?",Women empowerment,Favor,Positive,No
"""  ????? ????? ?????? ?????? ?? ?????? ?????? ?????? #?????? ???? ???? ??? ???? ???? ??? ???????? ??????? ??  ????? #?????_????? ??? ??????? ?????? @SaudiMOH   ?????? ????? ????? ????? ???????? ?? ???? ????? ?????? ????? ???????? ?????? #??????",Covid Vaccine,Favor,Positive,No
""" ????? ?????? ?? ???? ????? ????? ????? ?? ????????? ?????? ? ??? ?????? ? ??? ????? ????? ??? ??????? ?? ??????? ?? ??? ??????? "".",Women empowerment,Favor,Positive,No
"""??? ???? #???????? ? ???? #???????? ?? ?????? ? ??? ??? ???? ??????""  #????_??_????? ??  #???_?????? #?????_??????",Women empowerment,Favor,Positive,No
"""?? ?????? ?? ???? ?????? ??? ????? ??? ??? ???? ?????? ???? ????? ????????? ? ??? ????? ??? ??????? ????? ?????? ??????? ?? ????? ??????? ???? ??????""  #????_???????_???????? ?? #?????_?????? #?????_???????_??????",Women empowerment,Favor,Positive,No
"""?? ????? ?????? ??? ???? ???? ???? ??? ??????? ????? ???? ????? ?? ?????? ????????? ?????????? ?????. ?????? ???? ??????? ?????? ??????"".   #???_??????_???????   #??????_??_????????",Women empowerment,Favor,Positive,No
"""????? ??????? ??????? ???????? ????? ????? ?????? #??????_?????? ????? ????? ????????? ?????? ????????? ?????? ??????????? ?????? ??? ????? ???????? ??????? ????  ??? ???? ????? ?????? ???? ?? ???????? ??????? ??????? ?????? ???? ?????? ????????."" URL",Digital Transformation,Favor,Positive,No
"""?????? ????? ????? ?????? ?? ??? ????? ??? ????? 85% ?? ??????"" ???????????",Covid Vaccine,Against,Negative,No
"""?????? ??????"" ??? ?? ???? ?????????? ??????? ???????????  ??? ???? ???? ????? ??????? ???????? ?? ???? ???????..   ?????? ?????????? ?? ?? ???? ???? ??? ?? ?? ?????? ??????? .. ?? ???? ?? ??????? ?????? ???????? ????? ???? ???? ???? ??????? ????????  #????_?????_??????? URL",Digital Transformation,Favor,Neutral,No
"""????? ???????? ????????? ????? ??? ?????? ???? ?? ????? ?????? ??? ???? ?????"".  ???? ???? ???? ???????? ?????? ????? ??????? ??????? ???????? ?????? ???????? ????? ????????.  ? ???? ???????? ???????? ? ??????? ???? ???? ?? #??????_??????? #??????_??????  #legaltech",Digital Transformation,Favor,Positive,No
"""???????? ?????? ?????? ??? ?????"" ?.???? ?????? @malkassabi   ????? ? #????_????????? ??? ?????? ????? ??? ????? ??????: ????? ?????? ?? ???? ????????? ?????? ??? ??? ?????? ???????? ?? ??? ?????? ?????? ?????? ..   #?????_???????_??????",Women empowerment,Favor,Positive,No
"""?????? ???? ???? ????? ?????? ?????""  ""??? ????? ??? ????? ??????""  ""?????? ???? ??? ????? ?????? ??????? ??? ??? ??????? ????????""  ""????? ?????? ??????? ?? ?????? ????? ??????""  ??? ????? ???????? ???????????  ????? ???? ????? ?????? ??? ?????????? ??? ?? ???? ????? ??????. URL",Women empowerment,Favor,Negative,No
"""?????? ?? ??? ?? ???? ??????...?? ????? ??? ????? ?? ??????"" -????? ??????? ?? ????????? ?? ????. ""??? ???? ????????? ???? ???????? ?? ??????? ??? ??? ???? ??????""  -??? ????? ?????? ???? ?? ?????. ????? ?????? ?? ????? ????? ????? ?????? ??????? ??. #???_??????_???????_2021",Women empowerment,Favor,Positive,No
"""??????.. ???? ??????.. ????? ??????..""  ??? ???? ?????????? ?????? ???? ???????? ??????? ???? ??????? ???????? ??? ?? ??? ?????  ??????? ??? ??? ?????..!  ??? ??? ????? ??? ???? ?????? ??? ?? ??????? ??????? ?????? ???????  ??? ????? ??????? ??? ?????? ?????? ????? ?????? ?????! URL",Women empowerment,Against,Negative,No
"""????? ????? ??????"" ????? ?? #????_???????_?????   ???? ???? ??????.. ???? ?????? ? #??????_?????  #????_???????_2030 URL",Digital Transformation,Favor,Negative,No
"""??????? ???? ??? ?? ??? ??? ????? ??????"".. ????? ????? ??????? ??????? ???????? ?????????? #???????? ?????? ?????? ??? ?????? ???? ?? ????? ?????? ?? ?????? ????? ????? ??? ?????",Women empowerment,Favor,Neutral,No
"""???? ?? ?????? ??? ??????? ??? ?? ??? ???""  ? . ?????? ???? ????? ???? ????? ??? ?? ???? ?????? ????? ??? ???????? ??  ??? ?? #?????_?????? ?",Women empowerment,None,Negative,No
"""????? [??????] ? [??????] ?????? ??????? ????? ????????""?? ???? ?? ??????",Women empowerment,Favor,Positive,No
"""????? ?????? ????????"" ?  ""???? ??????? ?? ?????? ????????? .....  ???????? ?????? ????????? ???? ????? ???? ?????? ????????? ?????? ??????? ???????? ?????? ?????????"" ?",Women empowerment,Against,Negative,No
"""????? ?????? ????? ??? ?????? ?? ??????? ???? ???????? ?? ???? ??? ??? ????? ???????: ???? ????? ?????. ???? ???? ??? ?? ???????? ????? ?????? ??? ???? ?????? ??????? ?? ??????? ??????. ??? ????? ?? ???? ??? ??? ???????""  -??????   #????_???_????????",Women empowerment,Against,Negative,No
"""????? ?????? ?? ???????"" ?????? ????? ??????? URL",Women empowerment,Favor,Neutral,No
"""????? ?????? ?????? ????? ?????? ?????? ??????.. ???? ???? ????? ????? ????????? ?????? ??? ?? ???? ???? ??? ????? ??????? ?? ?????""  ??????:",Women empowerment,Favor,Positive,No
"""????? ?????? ?????? ?????? ???????? ??? ????? ???????""  ????? ??? ????? ????? ?? ????? ?????  ????????? ????? ????? #????? ???????? ..  #???_??????_???????_2021  #??????_??_????????  #InternationalWomensDay",Women empowerment,Favor,Positive,No
"""????? ??????"" ???? ????? ?? ???? ????? ?????.",Women empowerment,Favor,Neutral,No
"""????? ??????""  ???? ??????? ?????? ?????? ?? ???????? ???????? ?? ????? ??????? ???????? ??????  ???? ????? ??? ??????? ??: ?????? ??????? ????????? ????????? ???? ?????? ?? ???????!!",Women empowerment,Against,Negative,No
"""??? ?? ???? ?? ??? ????"" ??? ?????? ?? ?? ???? ??? ?? ????? ??????..",Women empowerment,Favor,Neutral,No
"""????? ??????? ?? ?????? ??? ?????? ?????? ??????"" | ???  @UAE_BARQ   #????_?????? #????? #??????_????? #??? #????????",Covid Vaccine,Favor,Positive,No
"""??? ???"" ????? ?? ????? ????? ??????? ?????????? ?????? ?? ?????? ??? ???? ???? ????? ???? ????? ??? ????? ???? ??????? ???? ?? ?????? ????? ?????? ???????? ???????? ??????? ?? ???????????????",Covid Vaccine,Favor,Neutral,No
"""?? ????? ???? ""?? ????? ?? ????? ?? ????? ?? ????? ?? ????? ?? ????? ???????? ??? ???? ?????? ?????? ???  #?????_??????  #COVID19",Covid Vaccine,Favor,Positive,No
"""??? ????? ??????""????.   #??????_????????_?????",Women empowerment,Favor,Positive,No
"""?? ??????? ?? ????? ??????? ?? ???? ?????? ??????? ??? ?????. ??? ????? ?????? ?? ???? ??????? ?????  ???????? ?????? ?? ???? ?? 'first do not harm'",Covid Vaccine,Against,Neutral,No
"""?? ??? ??? ?????  ??? ????? ?? ????  ??? ????? ?? ????  ???? ????? ?? ?????? ???? ????? ????? ?? ??? ???."" #??_???????_????????  #?????? #?????_??????   #??????_????_??_??????   #????_??????? #?????? #??????",Covid Vaccine,Against,Negative,No
"""??? ?? ??? ??? ???"" ???? ?? ???????  ?? ????? ????? ???? ????? ???? ????? ??? ???? ???? ???? ????? ?????? ?? ???? ???? ??? ????? ????? ???? ?????? ??? ?? ????? ????????? ??? ????   ???? ???? ?? ?? ???? ???? ???? ??? ?????? ????? ????? ?????????? #????_?????_19 #????????_??????",Covid Vaccine,Favor,Positive,No
"""????? ????? ?????? ????? ???? ?????? ????? ?????? ???? ??????? ????? (????? ??????) ???? ?????"".  - #????_???????",Women empowerment,Against,Neutral,No
"""????? ?????? ????????? ?? ????? ??????????... ????? ?????? ??? ????? ?????? ?? ??? ?????? ???????""#???_??????_???????",Women empowerment,Favor,Positive,No
"""??? ?? ??? ????? ??????? ?? ????? ?????? ?????? ?? ?? ????? ???? ??? ??% ?? ???? ????? ?? ????? ?? ??????"".  ???? ??????.",Women empowerment,Favor,Positive,No
"""??? ?????? ?????? ????? ??????? ???? ?????? ?????? ??? ???????"". ????? ??? ????? ???? ????? ?????? ?????? ??? ???? ?????  ?? ???? ??? ????? ??? ???????  ???? ?? ?? ???? ?? ?????? ?????? ??????. URL",Digital Transformation,Favor,Positive,No
“?? ??????”… ????? ??????? ?? ????? ?? ?????? #??????  @NajatGemayel,Covid Vaccine,Favor,Neutral,No
” ????????? ???????? ” ????? ????? ????? ??????? ????? ?????? ????? ?????? ???????? URL,Women empowerment,None,Neutral,No
«??? ???» ?????? ?? ???? ?????? ?????? ?????? ?????? ????? ?????? ?????????? URL,Digital Transformation,Favor,Positive,No
«?????? ????? ??????» ????? ???? ???? ????? ???????? URL  #?????? #?????_???????_???????? #??????_??_??????,Women empowerment,Favor,Neutral,No
( ???? ???????? ??????? ? ??????? ) ?????? ???? ????? ????? ?????? ???? ??? ?????! ????? ?????? ?? ?????? ?? ??? ??? ?????? ???????? ?? ???????? ????? ????? ??????? ?????? ????. ?????? ?? ?????? ???????? ?????? ? "??????? ????? ???????" @Turki_alalshikh #????_2030_????_?????,Women empowerment,Favor,Positive,No
(2030)  ???? ???????? ? ?????? ? ?????? ?????????? ???? ????? ?? ???? ???? ???? ???? ???? ???? ?????? ???? ?? ????? ?? ????????? ?? ???? ???? ???? ????? ??? URL,Digital Transformation,None,Positive,No
(?-?) .. ????? ??? ..??? ??? ????? ?? ??? ?????? ?????? ???????? ???????? ??????? ??????  ??? ????? ??? ????? ??????? ???????.. ??? ????? ??? ??????? ??????? ???? ????? ?? ??????? ?????? ?? ????? ??????   ??? ?? ?? ???????? ??? ??? ?????? ?????? ???? ??? ???? ????? ????? ??????..,Digital Transformation,Favor,Positive,No
(?) ???? ??? ??? ????? ?????? ??? ????? ???? ??? ??? ???? ?? ??? ????? #??????,Covid Vaccine,Favor,Positive,No
