Text,Target,Stance,Sentiment,Sarcasm
 هم ماتشدقو بكلمه(تمكين) الا يريدون المراه تتمرد وتخرج عن نهج الشريعه وتنزع لباس الحياء ومن الاخير تصيع!!! . ولا كنا بلاجيال السابقه لم نسمع هذه الكلمه وكانت المرأه مرأه بمعنى الكلمه صاحبه بيت واستقرار وتربيه وغيرها وكنا جيل يضرب به المثل من دين وتعليم وادب,Women empowerment,Against,Negative,No
1⃣ العالم مُنذ سنين بدأ يتدرج في التجارة الالكترونية .إن لم تكن بدأت فالآن أصبح التحول الالكتروني ضرورة ملحة لا نشاط إضافي كما هو الحال قبل الأزمة,Digital Transformation,Favor,Negative,No
2️⃣ إنخفض معدل الدخول للمستشفى بسبب #كورونا بهذه النسب: ٩١٪ بعد ٤ أسابيع من تطعيم فايزر.  ٨٨٪ بعد ٤ أسابيع من تطعيم أسترازينكا.  و فالكم طيب.,Covid Vaccine,Favor,Positive,No
3   تمكين المرأة صاحبة الشخصية القوية في جميع مفاصل الدولة الإيرادية . • عرض التقييم الدوري للأداء العملي والمالي كل ٣ اشهر للمواطن  • انشاء صندوق مقترحات وشكاوي لكل مرفق حكومي مع متابعت ذلك الصندوق من قبلي شخصيآ,Women empowerment,Favor,Positive,No
3️⃣ ومع ذلك   هناك مخاوف من أن هذا التحول يحدث بسرعة كبيرة بحيث لا تتمكن المجتمعات من اللحاق بركب التطور التقني ما يصعب التكيف على المواطنين الأكبر سناً على وجه الخصوص   فإن الوتيرة الأسرع لاعتماد التكنولوجيا تخلق مخاطر من أن يتفوق فقدان الوظائف على خلق فرص عمل جديدة.,Digital Transformation,Against,Negative,No
5️⃣ مع جائحة #كورونا سعت الحكومات والشركات في جميع دول العالم إلى #التحول_الرقمي لمواكبة التغيرات الطارئة في الحاجة للعمل عن بعد  نتج عنه تحول تقني سريع في الصحة والتجارة والتعليم الإلكتروني وكافة مجالات الحياة جعلت التقنية تحتل دور البشر وتختصر الإجراءات وتحسن وتسرع في التنفيذ.,Digital Transformation,Favor,Positive,No
5-  البحث عن المعلومات في المصادر المطبوعة وغير المطبوعة. 6-  التحول من التّعليم التقليدي إلى التّعليم الإلكتروني. 7-  تقديم التغذية الراجعة المباشرة للمتعلم. #التعليم_المدمج #تعليم_جديد,Digital Transformation,Favor,Neutral,No
10 / 10 / 1439 هـ تاريخ لن ينسى … 😍 يصادف اليوم الذكرى السنوية الرابعة لـ قيادة المرأة السعودية … فخورة بكل إمرأة سعودية اثبتت نجاحها في هذه المهنة وفخورة أني أعمل في مهنة تمكين المرأة  … وضمن فريق أفضل قائد @mr_mns,Women empowerment,Favor,Positive,No
14- Gunjan Saxena  بالإصرار والصبر تتحقق الأمنيات  لكن في عصر تمكين المرأة  هل يوجد عائق نحو تحقيق الأهداف؟! URL,Women empowerment,None,Neutral,No
16 سنة دراسة وفي الأخير تتوظف بائعة تلمع قزاز 😠 . #تمكين_المرأة أكبر أكذوبة في البلد.,Women empowerment,Against,Negative,Yes
24 April                                                              اخذنا تطعيم كورونا ولله الحمد 💉🩹,Covid Vaccine,Favor,Positive,No
25 أبريل 2021م ١٣ رمضان١٤٤٢هـ  الحمدلله💉 الله يجعلها خير و وقايـة يارب♥️  شكراً قيادتنا الرشيدة شكراً لوزارة الصحة @SaudiMOHشكراً لجامعة المجمعة@umajmaahعلى حسن التنظيم وهذا الجهدالجبار🇸🇦💪🏻  ازال الله الغمة عن هذه الأمة ورفع البلاء وأدام على الجميع الصحة والعافية❤️ #تطعيم_كورونا,Covid Vaccine,Favor,Positive,No
44 % نسبة التحول الإلكتروني في خدمة طلبات شهادات حسن السيرة والسلوك #البحرين #أخبار_الخليج URL,Digital Transformation,Favor,Neutral,No
270 مليون نسمة حول العالم على شفا مجاعة من قلة الطعام  الناس مو لاقين ياكلون و نحن نريد أن ندفع المليارات لنشتري #تطعيم أو #لقاح لمرض نسبة الشفاء منه تصل إلى 90%  تذكرت قول علي بن أبي طالب : سوء التدبير مفتاح الفقر و يقول أيضا :  لا غنى مع سوء تدبير  #اليوم_العالمي_لحقوق_الانسان,Covid Vaccine,Against,Negative,No
"- "" نسير بخطى ثابتة وواثقة نحو تحقيق رؤية السعودية 2030 التي وضع أسسها سمو ولي العهد الأمير محمد بن سلمان والتي تتضمن في أولوياتها «تمكين #المرأة»... ""   @dr_malky  #حملة_وعي #لنتعاون_معا  @SeadaAlshammar2",Women empowerment,Favor,Positive,No
- أعتقد بأن تمكين المرأة في منطقة الخليج لن يتم عن طريق الانتخابات؛ لأن الثقافة الذكورية لا تزال تسيطر على شعوب المنطقة.  - تمكين المرأة يحتاج إلى الثقة في قدراتها، وإلى الإيمان بأهمية مشاركتها في دوائر صناعة القرار، وإلى فرض وجودها بقرارات سيادية.,Women empowerment,Favor,Neutral,No
- الطلاق الشفوي ولازم امام قاضي - تمكين المرأة - و قهر الرجال بزياده البطالة و تضييق الحال عليهم بغلاء و غلق ابواب الرزق كوقف اعمال البناء! - فقر و معاناة اقتصادية ترفع نسب الطلاق  - قانون احوال شخصية جديد  #السيسي يسعى لتفكيك عروى المجتمع المصري و نواتها,Women empowerment,Against,Negative,No
"- المرأة وحاجة المجتمع - ساهمت الصحوة بشكل كبير في جعل المرأة بلا عمل بحجة ذكورية ""أن الرجل عيب تصرف عليه المرأة"" - التيار الصحوي جعل من المرأة منصة للصراع لضمان البقاء والسيطرة على المجتمع - تأثير الصحوة انعكس على عقلية الحكومة تجاه تمكين المرأة د. عبدال",Women empowerment,Favor,Neutral,No
- سيستمر فيروس كورونا /كوفيد-19/ في تشكيل خطر على صحتنا طوال معظم شهور عام 2021، وإلى أن يتم تطعيم جميع الأفراد المؤهلين للحصول على التطعيم بلقاح كوفيد-19 فإنه يجب علينا أن نواصل اتباع التدابير الوقائية. #الجسرة_الإخبارية,Covid Vaccine,Favor,Neutral,No
- فالبرنانج الضعيف ( وعد )   امس كان الموضوع تدوير النفايات  واليوم الموضوع تمكين المرأه ..  ترتيب الاولويات وتناسب الحلقات يحسب لهم رغم ضعف البرنامج ..,Women empowerment,Favor,Negative,No
-البي بي سي ١٠ دول اوروبية توقف تطعيم اوكسفورد..  -اطباء الكويت التطعيم بريء وامن..!!  تسويق وترقيع على حساب البشر غير معقول!!  #لا_للحظر #كورونا #التطعيم,Covid Vaccine,Against,Negative,No
-تمكين المرأة والشباب وضمان مشاركتهم في مؤسسات الدولة ومراكز صنع القرار وتنفيذ مهام المرحلة الانتقالية.  -ارساء قواعد عمل قائمة على الكفاءة والنزاهة والشفافية وتساوي الفرص. (5) أنتهى URL,Women empowerment,Favor,Positive,No
-نقص في اعداد نسبه البطاله  -القضاء على الفساد  -دحر الارهاب  -تطوير قطاعي الرياضة والسياحه  -تمكين المراة  ا-صلاحات اقتصاديه عظيمه  كل هذه الاعمال والقائمه تطور انجزها سمو #ولي_العهد حفظه الله بوقت وجيز وقياسي ليصعد بالمملكة الى القمة,Women empowerment,Favor,Positive,No
"-يروج لهاشتاقات اباحية. -يدعوا إلي ""تمكين المرأة"" وهذا يترتب عليه كثرة خروج النساء. -يسمح بالاختلاط. -يدعوا المرأة إلى الخروج من بيتها -التبرج وغيره  ألن يؤدي ذلك كله إلى هتك الأعراض؟؟ هذا الأمر سيؤدي إلى هتك الأعراض بطريق أعظم أثرا من الحرب  لأن هذا يترت",Women empowerment,Against,Negative,No
— بمُناسبة #يوم_المرأة_العالمي    نذكر الجميع بـقول الملك سلمان عن #المرأة؛   «المرأة هي مصدر التطور لأي مجتمع فمن غير تمكين المرأة من الصعب إصلاح المجتمع»  ولي العهد الأمير محمد بن سلمان؛  «أنا أدعم السعودية ونصف السعودية من النساء لذا أنا أدعم النساء»  #حملة_وعي #لنتعاون_معا,Women empowerment,Favor,Positive,No
. . في كلوب هاوس .. كثير من الغرف التي تطرح موضوع تطعيم كورونا وأن التلقيح مؤامرة عالمية لتغيير  الجينات على أساس إن جينات من يروجون لهذا الأمر ..  متفوقه على جينات ( إينشتاين )  . . أعقل يازعبله 🙄,Covid Vaccine,Favor,Neutral,Yes
. أنا حالياً متواجد في أمريكا وتقريبا وبنسبة ٩٥٪ لاتوجد لديهم كورونا ولا يتحدثون عنها والحياة طبيعية وبدون كمامات وأماكن الترفيه للأطفال والمجمعات جميعها مفتوحة   والسبب تم تطعيم العموم واللقاح في الصيدليات   وعندنا يتجمعون في ساحة الإرادة ضد التطعيم !   #التطعيم_الاجباري,Covid Vaccine,Favor,Neutral,No
.  اسْتغفلوا السّاذجات ، وَقالوا لهَا ، لا حلّ في توفير الوظيفة إلا بـ #تمكين_المرأة ، ثُم فجأة: يقولون لها اخرجي من بيت أهلك ! غيّري اسمك! لك الحُرية في السكن مع صديقك!  ثُم إذا قالت أين الوظيفة ، قالوا رقّاصة وكاشيرة وبائعة شاهي!  #تجمع_العاطلين_مستمر,Women empowerment,Against,Negative,No
".  الإشْكاليّة اليومَ ليسَت في هذا السّقوط وأن الفخ الذي تراهُ اليوم سَهلٌ الخروج منه، بل كما سَمّوه "" تمكين المرأة"" إنما المقصد أنّهم تَمكّنوا منها، ولن تستطيع بسهولة أن تنتزعَ نفسهَا منها، فكيفَ مُكّنت المرأة !  +",Women empowerment,Against,Negative,No
.  الاسْتعباد الوظيفي حين يُرغموا امرأةً أنْ تتشتّت عن عائلتهَا وتغتربُ وحدها أو تتركُ أبنائها من أجل راتب 5000 كان في الأصل 8000 ويزيد!  ثُم يسمونهُ تمكين المرأة وهو استعبادها! #انغام_في_القصيم #العفو_الملكي_1443 #ناجي_بن_نصار_السبيعي_واسرته  #برابس_يسي_لله #سعود_بن_نهار_بن_سعود URL,Women empowerment,Against,Negative,No
. الحمد لله رب العالمين  أخذنا أول جرعة تطعيم ضد  فيروس كورونا اللعين,Covid Vaccine,Favor,Positive,No
". الحمد لله رب العالمين  أخذنا أول جرعة تطعيم ضد  فيروس كورونا اللعين  والجرعة  الثانية ان شاء الله  بعد 15  يوم   ""فايزر""",Covid Vaccine,Favor,Positive,No
.  تم بحمدالله.. يارب انفعنا به واصرف عنا شره .. #تطعيم_كورونا   #سنابيه   ..,Covid Vaccine,Favor,Positive,No
.  تمكين المرأة = هدم حصونها بِـإبعادها عن  محارمها ⬅️ احتقارها + امتهان كرامتها +  تسليعها ⬅️ رميها في مستنقع الرذيلـة..,Women empowerment,Against,Negative,No
".  كن غَالبيّةُ هذهِ الحُقوق خُصوصًا ما يُسمى "" تمكينُ المرأة"" ليسَ على ضَابطِ حفظهَا وَصونها، فحقوق المرأة أن تحفظَ كرامتها لا أن تستخدمَ قيمتها وجسدها، لكنّها ومن المُؤسف أنّهُ يُسْرعُ استغفالهَا سَواء بدعوى الاحتياج أو بِدعوى التهوين والتطبيع على انسلاخهَا من هويّتها،   +",Women empowerment,None,Negative,No
. نحمد الله ونشكره على قيادة ومجتمع يمكن المرأة لإستدامة حضارة وطن زايد الخير و خليفة الطيب 🇦🇪 . MENTION . #تمكين_المرأة #لتمكين_المجتمع  . URL,Women empowerment,Favor,Positive,No
' لحظات ماتعة وجميلة قضيتها مع زملاء أفاضل من مدربي #الكلية_التقنية_ببريدة  قدمت لهم وخلال ثلاثة أيام دورة ( التحول الرقمي والمستقبل التقني ) شكراً لطيب استقبالهم. - URL,Digital Transformation,Favor,Positive,No
‘’ نعيش الفترة الذهبية للمرأة السعودية بفضل قيادة طموحة ‘’  #مشاعل_العيدان #اول_سعودية   #مهندسة #تصميم_داخلي  #عالم_مشاعل   #امير_منطقة_القصيم #الامير_فيصل_بن_مشعل  #تمكين_المرأة  #رؤية_المملكة_2030  #همة_حتى_القمه  #جامعه_القصيم     @al_jazirah,Women empowerment,Favor,Positive,No
""" أنا ارفض إني أكون فأر تجارب.""   #لا_تطعيم #كورونا #كوفيد_19 #حقوق_الانسان #كورونا_المستجد #قطيع #اصحوا #وثائق #لن_اخضع",Covid Vaccine,Against,Negative,No
""" المرأة هي مصدر التطور لأي مجتمع، فمن غير تمكين المرأة من الصعب اصلاح المجتمع."" #يوم_المراه_العالمي 🤍",Women empowerment,Favor,Positive,No
"""  تلقيت اليوم الجرعة الأولى من اللقاح المضاد لفيروس #كورونا الله ينفع بها يارب والف شكر لحكومتنا الرشيده 🇸🇦  شكرًا #وزارة_الصحه على التنظيم الرائع @SaudiMOH   وكذالك الشكر موصول لجميع العاملين في مركز تطعيم اللقاح بفندق الهيلتون بمدينة #الرياض",Covid Vaccine,Favor,Positive,No
""" تمكين المرأة هو حاجة ومطلب رئيسي سيغير في مجتمعاتنا الكثير ، نحو الأفضل ، لأن أمتنا بحاجة إلى مساهمات كل أبنائها من دون استثناء "".",Women empowerment,Favor,Positive,No
"""أنا أدعم #السعودية ، ونصف #السعودية من النساء ، لذا أنا أدعم النساء""  #محمد_بن_سلمان 🇸🇦  #يوم_المرأة #تمكين_المرأة",Women empowerment,Favor,Positive,No
"""إن المرأة هي مصدر التطور لأي مجتمع فمن غير نساء ممكنات يصعب اصلاح المجتمعات ، وقد أثبتت عبر التاريخ دورها البارز والفعال في قيادة التغيير وصنع القرار""  #خادم_الحرمين_الشريفين 🇸🇦 #تمكين_المرأة #اليوم_العالمي_للمرأة",Women empowerment,Favor,Positive,No
"""إن تمكين المرأة ليس مجرد شعار جذاب يتم تداوله، وإنما عامل رئيسي في النجاح الاجتماعي والاقتصادي للأمم. فعندما تنجح النساء، يستفيد الجميع"".   #يوم_المرأة_العالمي   #المرأة_في_السعودية",Women empowerment,Favor,Positive,No
"""اتخذت المملكة العربية السعودية قفزات نوعية لتسريع #التحول_الرقمي وتبني أنظمة الاتصالات وتقنية المعلومات وتفعيل استخداماتها للوصول إلى مجتمع معلوماتي واقتصاد رقمي  إلى جانب تحقيق معدلات عليا من الرفاهية للمواطن والمقيم وتسهيل أمور حياتهم المعيشية."" URL",Digital Transformation,Favor,Positive,No
"""ارتفاع حالات فيروس كورونا في جزر سيشيل رغم تطعيم 85% من السكان"" وبعدين؟؟؟؟😡",Covid Vaccine,Against,Negative,No
"""استثمر بسهولة"" زاد من توجه المستثمرين للخدمات الالكترونية  بما يسهل حركة السلع الصادرة والواردة من والى السلطنة..   التحول الالكتروني في أي مجال يسهم بلا شك في تطويره وسهولته .. لا بديل عن الحكومة الذكية والتركيز عليها بشكل كبير جداً لمعانقة الطموحات  #عمان_تحتاج_افكاركم URL",Digital Transformation,Favor,Neutral,No
"""السوق القانوني المستقبلي يحتاج إلى مهارات تزيد عن مهارة القدرة على بناء الحجج"".  سنرى بإذن الله مستقبلاً مشرقًا لبيئة قانونية تطبيقية احترافية تقودها البيانات بقطاع المحاماة.  و إنّا للمستقبل لمنتظرون و مستعدون بإذن الله 👏🏼 #مستقبل_القانون #التحول_التقني  #legaltech",Digital Transformation,Favor,Positive,No
"""المحاسبة العمود الفقري لأي منشأة"" د.ماجد القصبي @malkassabi   شكرًا ل #هيئة_المحاسبين على الدعوة لحضور حفل تدشين برنامج: تمكين المرأة في مهنة المحاسبة، وشكرًا لهم على جهودهم المستمرة في دعم المرأة وتطوير المهنة ..   #اليوم_العالمي_للمرأة",Women empowerment,Favor,Positive,No
"""المرأة لازم تحقق ذاتها ودخلها الخاص""  ""هذا العصر عصر تمكين المرأة""  ""المرأة لازم تحب نفسها وكفاية إجبارها على نمط الأمومة التقليدي""  ""اعطوا المرأة حريّتها في إختيار طريقة حياتها""  شفت 👆🏻هذه الشعارات والمصطلحات؟  كلّها بهدف إيصال المرأة إلى هذا👇🏻القاع بعد أن كانت معززة مكرّمة. URL",Women empowerment,Favor,Negative,No
"""المرأة هي امي هي اختي وابنتي...هي زوجتي انا مخلوق من المرأة"" -الملك عبدالله بن عبدالعزيز ال سعود. ""أنا أدعم السعودية، ونصف السعودية من النساء؛ لذا أنا أدعم النساء""  -ولي العهد الأمير محمد بن سلمان. تمكين وتنمية من قيادة حكيمة لبناء مستقبل المملكة 💚💚. #يوم_المرأة_العالمي_2021",Women empowerment,Favor,Positive,No
"""المرأة.. حقوق المرأة.. تمكين المرأة..""  لقد صدّع التغريبيون رؤوسنا بهذه العبارات الزائفة وكأن أمهاتنا وأخواتنا عشن في سجن ومحبس  والواقع عكس ذلك تماما..!  لقد خاض هؤلاء بكل شؤون المرأة إلا في أمومتها وفطرتها وحراسة فضيلتها  لأن هدفهم الأساسي هدم البيوت وتفكيك الأسر فالحذر الحذر! URL",Women empowerment,Against,Negative,No
"""الملف الصحي الرقمي"" ينطلق في #تجمع_الشرقية_الأول   نظام رقمي متكامل.. لأجل المريض ✨ #التحول_الصحي  #رؤية_المملكة_2030 URL",Digital Transformation,Favor,Negative,No
"""المملكة جادة جدا في دعم ملف تمكين المرأة"".. وكيلة وزارة الموارد البشرية والتنمية الاجتماعية #السعودية لتمكين المرأة هند الزاهد تقول إن تعيين المرأة في بلادها بمنصب قاضية بات قريبا",Women empowerment,Favor,Neutral,No
"""تعبت من الشارع أنا وعيالي، أنا من حقي بيت""  💔 . مواطنة تبكي وتصرخ بسبب حالها بعد أن أصبح الشارع مأوىً لها ولصغارها ‼️  هذا هو #تمكين_المرأة 😑",Women empowerment,None,Negative,No
"""تمكين [المرأة] و [الشباب] محورين أساسيين للنمو المستدام""👍🏻 محمد بن سلمان💕",Women empowerment,Favor,Positive,No
"""تمكين المرأة السعودية"" ❌  ""سرقة الوظائف من الرجال السعوديين .....  وإعطائها للنساء السعوديات بنفس الوقت اللي الرجال السعوديين مكلفين بالنفقة والإعالة للنساء السعوديات"" ✅",Women empowerment,Against,Negative,No
"""تمكين المرأة سينتج عنه ارتخاء في الرجولة وموت للشهامة؛ لا لشيء إلا لأن رسالة التمكين: لسنا بحاجة إليكم. وهذه صفعة قمة في الإيجاع؛ ستقود الرجال إلى اللا مبالاة والتخلي عن أدوارهم وقيمهم. كيف تساعد من يعلن أنه ليس بحاجتك؟""  -أبوعمر   #وزير_عدل_السعوديه",Women empowerment,Against,Negative,No
"""تمكين المرأة في المجتمع"" بثقافة الطود بالأقصر URL",Women empowerment,Favor,Neutral,No
"""تمكين المرأة لايعني إقصاء الذكور وتفضيل الإناث.. إنما يعني إتاحة الفرص المتكافئة للجميع على حد سواء بناء على معيار الكفاءة لا الجنس""  الواقع:",Women empowerment,Favor,Positive,No
"""تمكين المرأة وتوفير البيئة المناسبة لها تمكين للمجتمع""  شكراً لكل امرأة ساهمت في أسعاد أسرنا  المستفيدة وحققت أهداف #ترميم التنموية ..  #يوم_المرأة_العالمي_2021  #المرأة_في_السعودية  #InternationalWomensDay",Women empowerment,Favor,Positive,No
"""تمكين المرأة"" أشمل وأوسع من مجرد توفير وظائف.",Women empowerment,Favor,Neutral,No
"""تمكين المرأة""  يعني إشغالها بوظائف الرجال عن واجباتها الحقيقية من رعاية للابناء وتنشئتهم وحفظهم  وأول خطوات هذا التمكين هو: احتقار الأمومة وازدراؤها واعتبارها حالة بدائية أو حيوانية!!",Women empowerment,Against,Negative,No
"""جبت لك ورقة من سيد سيدك"" هذا إحساسي مع كل قرار صدر في تمكين المرأة..",Women empowerment,Favor,Neutral,No
"""ضريبة التأخير في الحصول على اللقاح تتضاعف يومياً"" | وام  @UAE_BARQ   #لقاح_كورونا #تطعيم #دكتورة_فريدة #صحة #الامارات",Covid Vaccine,Favor,Positive,No
